scenario_id,family,chat_id,turn,message,expected,response_status,assistant_message,hard_state_json,product_ids_json,product_count,outfit_group_count,constraint_verification,violations_json,behavior_ok,latency_seconds,ollama_calls,status,notes
F011,hard_constraints,684,1,all black shoes,all explicit hard constraints,recommendations,"I found 5 verified matches: Nike Men's Air Monarch IV Wide 4E Black/Black (416355 001), Fila Women's w Memory Workshift Sr, Speedo Men's Water Shoe Surfwalker Pro 3.0, FREE SOLDIER Waterproof Hiking Work Boots Men's Tactical Boots 6 Inches Lightweight Military Boots Breathable Desert Boots, and Timberland PRO Men's Powertrain Sport Alloy Toe Sd+ Ripstop Nylon Industrial Boot. Prices shown are historical dataset prices, not live current prices.","{""brands"": [], ""categories"": [""Shoes""], ""colours"": [""black""], ""currency"": ""USD"", ""destination"": null, ""materials"": [], ""maximum_price"": null, ""minimum_price"": null, ""occasions"": [], ""price_mode"": null, ""recipient"": null, ""schema_version"": ""n24_hard_request_state_v1"", ""sizes"": [], ""timeframe"": null}","[""B0B2TB19C3"", ""B09LMHB3MF"", ""B0BVMS91HD"", ""B09MVQ8NP7"", ""B0C672212P""]",5,0,True,[],True,1.012,0,PASS,hard state and product evidence verified
F012,refinement,685,1,show me black Nike shoes,initial Nike/black/shoes,recommendations,"I found 1 verified match: Nike Men's Air Monarch IV Wide 4E Black/Black (416355 001). Prices shown are historical dataset prices, not live current prices.","{""brands"": [""Nike""], ""categories"": [""Shoes""], ""colours"": [""black""], ""currency"": ""USD"", ""destination"": null, ""materials"": [], ""maximum_price"": null, ""minimum_price"": null, ""occasions"": [], ""price_mode"": null, ""recipient"": null, ""schema_version"": ""n24_hard_request_state_v1"", ""sizes"": [], ""timeframe"": null}","[""B0B2TB19C3""]",1,0,True,[],True,0.982,0,PASS,hard state and product evidence verified
F012,refinement,685,2,under 100 dollars,retain prior constraints plus budget,recommendations,"I found 1 verified match: Nike Men's Air Monarch IV Wide 4E Black/Black (416355 001). Prices shown are historical dataset prices, not live current prices.","{""brands"": [""Nike""], ""categories"": [""Shoes""], ""colours"": [""black""], ""currency"": ""USD"", ""destination"": null, ""materials"": [], ""maximum_price"": 100.0, ""minimum_price"": null, ""occasions"": [], ""price_mode"": ""exact_max"", ""recipient"": null, ""schema_version"": ""n24_hard_request_state_v1"", ""sizes"": [], ""timeframe"": null}","[""B0B2TB19C3""]",1,0,True,[],True,0.858,0,PASS,hard state and product evidence verified
F013,reformulation,686,1,show me black Nike shoes,initial search,recommendations,"I found 1 verified match: Nike Men's Air Monarch IV Wide 4E Black/Black (416355 001). Prices shown are historical dataset prices, not live current prices.","{""brands"": [""Nike""], ""categories"": [""Shoes""], ""colours"": [""black""], ""currency"": ""USD"", ""destination"": null, ""materials"": [], ""maximum_price"": null, ""minimum_price"": null, ""occasions"": [], ""price_mode"": null, ""recipient"": null, ""schema_version"": ""n24_hard_request_state_v1"", ""sizes"": [], ""timeframe"": null}","[""B0B2TB19C3""]",1,0,True,[],True,0.77,0,PASS,hard state and product evidence verified
F013,reformulation,686,2,show me men's all-black shoes,clear Nike; retain black Shoes; add men,recommendations,"I found 5 verified matches: Nike Men's Air Monarch IV Wide 4E Black/Black (416355 001), Speedo Men's Water Shoe Surfwalker Pro 3.0, FREE SOLDIER Waterproof Hiking Work Boots Men's Tactical Boots 6 Inches Lightweight Military Boots Breathable Desert Boots, Timberland PRO Men's Powertrain Sport Alloy Toe Sd+ Ripstop Nylon Industrial Boot, and Twisted X Men's Hooey Loper - Slip-on or Lace-up Wicking Loper Shoes for Men - Designed with Blended Rice Husk and Durable. Prices shown are historical dataset prices, not live current prices.","{""brands"": [], ""categories"": [""Shoes""], ""colours"": [""black""], ""currency"": ""USD"", ""destination"": null, ""materials"": [], ""maximum_price"": null, ""minimum_price"": null, ""occasions"": [], ""price_mode"": null, ""recipient"": ""men"", ""schema_version"": ""n24_hard_request_state_v1"", ""sizes"": [], ""timeframe"": null}","[""B0B2TB19C3"", ""B0BVMS91HD"", ""B09MVQ8NP7"", ""B0C672212P"", ""B083QTM398""]",5,0,True,[],True,0.755,0,PASS,stale brand cleared
F014,show_more,687,1,show me shoes,base result set,recommendations,"I found 5 verified matches: Clarks Women's Breeze Sea Flip-Flop, Women's Walking Shoes Sock Sneakers - Mesh Slip On Air Cushion Lady Girls Modern Jazz Dance Easy Shoes Platform Loafers, Nike Men's Air Monarch Iv Cross Trainer, Skechers Men's Afterburn Memory-Foam Lace-up Sneaker, and RockDove Men's Original Two-Tone Memory Foam Slipper. Prices shown are historical dataset prices, not live current prices.","{""brands"": [], ""categories"": [""Shoes""], ""colours"": [], ""currency"": ""USD"", ""destination"": null, ""materials"": [], ""maximum_price"": null, ""minimum_price"": null, ""occasions"": [], ""price_mode"": null, ""recipient"": null, ""schema_version"": ""n24_hard_request_state_v1"", ""sizes"": [], ""timeframe"": null}","[""B07BZGVBF7"", ""B08134XNNB"", ""B07RJTN4CS"", ""B00DJSRER2"", ""B09DTQXJDP""]",5,0,True,[],True,0.855,0,PASS,hard state and product evidence verified
F014,show_more,687,2,show me more,distinct continuation,recommendations,"Here are some more options in your requested category: AEROTHOTIC Women's Comfortable Arch Support Summer Orthotic Thong Sandals ($39.99), Nike Women's Benassi Just Do It Sandal ($29.76), New Balance Men's MX608v4 Comfort Pack Training Shoe ($127.24), Nike Men's Benassi Just Do It Athletic Sandal ($44.00), and Crocs Men's and Women's Crocband Clog ($49.95). Prices are historical dataset prices; current availability is not verified.","{""brands"": [], ""categories"": [""Shoes""], ""colours"": [], ""currency"": ""USD"", ""destination"": null, ""materials"": [], ""maximum_price"": null, ""minimum_price"": null, ""occasions"": [], ""price_mode"": null, ""recipient"": null, ""schema_version"": ""n24_hard_request_state_v1"", ""sizes"": [], ""timeframe"": null}","[""B07W5J6XMP"", ""B01D3MS79W"", ""B01M17LSEE"", ""B0753J399N"", ""B0922DBSLN""]",5,0,True,[],True,14.215,1,PASS,no duplicates and state unchanged
F015,comparison_questions,688,1,show me watches,base watches,recommendations,"I found 5 verified matches: Timex Women's Easy Reader 25mm Watch, Casio Women's LRW-200H-2BVCF Stainless Steel Watch Resin Band, Timex Unisex Weekender 38mm Watch, Timex Men's Easy Reader Day-Date Expansion Band Watch, and CakCity Mens Digital Sports Watch LED Screen Large Face Military Watches for Men Waterproof Casual Luminous Stopwatch Alarm Simple Army Watch. Prices shown are historical dataset prices, not live current prices.","{""brands"": [], ""categories"": [""Watches""], ""colours"": [], ""currency"": ""USD"", ""destination"": null, ""materials"": [], ""maximum_price"": null, ""minimum_price"": null, ""occasions"": [], ""price_mode"": null, ""recipient"": null, ""schema_version"": ""n24_hard_request_state_v1"", ""sizes"": [], ""timeframe"": null}","[""B0BG65PQ9F"", ""B071D37SF9"", ""B01M636GNK"", ""B01I9OMC2C"", ""B08X2X5YN5""]",5,0,True,[],True,0.618,0,PASS,hard state and product evidence verified
F015,comparison_questions,688,2,compare the first two,compare grounded facts,comparison,"The Timex Women's Easy Reader 25mm Watch has a higher price ($63.00) and higher trust score (95.32) compared to the Casio Women's LRW-200H-2BVCF Stainless Steel Watch Resin Band ($22.00). Both have the same rating (4.5/5), but the Timex has more reviews (22,899 vs. 19,617).","{""brands"": [], ""categories"": [""Watches""], ""colours"": [], ""currency"": ""USD"", ""destination"": null, ""materials"": [], ""maximum_price"": null, ""minimum_price"": null, ""occasions"": [], ""price_mode"": null, ""recipient"": null, ""schema_version"": ""n24_hard_request_state_v1"", ""sizes"": [], ""timeframe"": null}","[""B0BG65PQ9F"", ""B071D37SF9"", ""B01M636GNK"", ""B01I9OMC2C"", ""B08X2X5YN5""]",5,0,True,[],True,13.336,1,PASS,grounded comparison object present
F015,comparison_questions,688,3,which one is cheaper?,grounded relative question,recommendations,The CakCity Mens Digital Sports Watch is cheaper at $13.59 (historical) compared to the Casio Women's Watch at $22.00 (historical).,"{""brands"": [], ""categories"": [""Watches""], ""colours"": [], ""currency"": ""USD"", ""destination"": null, ""materials"": [], ""maximum_price"": null, ""minimum_price"": null, ""occasions"": [], ""price_mode"": null, ""recipient"": null, ""schema_version"": ""n24_hard_request_state_v1"", ""sizes"": [], ""timeframe"": null}","[""B08X2X5YN5"", ""B071D37SF9""]",2,0,True,[],True,5.244,1,PASS,state unchanged and grounded referenced cards
F016,pending_relaxation,689,1,i need red shirt,offer mixed only if verified,no_exact_match,"I found no exact match for red Shirts. I also could not verify an eligible mixed-colour alternative, so I won't offer one.","{""brands"": [], ""categories"": [""Shirts""], ""colours"": [""red""], ""currency"": ""USD"", ""destination"": null, ""materials"": [], ""maximum_price"": null, ""minimum_price"": null, ""occasions"": [], ""price_mode"": null, ""recipient"": null, ""schema_version"": ""n24_hard_request_state_v1"", ""sizes"": [], ""timeframe"": null}",[],0,0,True,[],True,0.967,0,PASS,offer state consistent
F017,unsupported,690,1,is the first one in stock?,no live commerce fabrication,unsupported_data,The dataset does not contain current stock availability information.,"{""brands"": [], ""categories"": [], ""colours"": [], ""currency"": ""USD"", ""destination"": null, ""materials"": [], ""maximum_price"": null, ""minimum_price"": null, ""occasions"": [], ""price_mode"": null, ""recipient"": null, ""schema_version"": ""n24_hard_request_state_v1"", ""sizes"": [], ""timeframe"": null}",[],0,0,True,[],True,1.19,1,PASS,unsupported data stated honestly
F017,unsupported,690,2,what is today's Amazon price?,no live commerce fabrication,unsupported_data,"ShopMate has historical dataset pricing, not live Amazon pricing.","{""brands"": [], ""categories"": [], ""colours"": [], ""currency"": ""USD"", ""destination"": null, ""materials"": [], ""maximum_price"": null, ""minimum_price"": null, ""occasions"": [], ""price_mode"": null, ""recipient"": null, ""schema_version"": ""n24_hard_request_state_v1"", ""sizes"": [], ""timeframe"": null}",[],0,0,True,[],True,0.859,1,PASS,unsupported data stated honestly
F017,unsupported,690,3,can it arrive tomorrow?,no live commerce fabrication,unsupported_data,The dataset does not contain current delivery estimates.,"{""brands"": [], ""categories"": [], ""colours"": [], ""currency"": ""USD"", ""destination"": null, ""materials"": [], ""maximum_price"": null, ""minimum_price"": null, ""occasions"": [], ""price_mode"": null, ""recipient"": null, ""schema_version"": ""n24_hard_request_state_v1"", ""sizes"": [], ""timeframe"": null}",[],0,0,True,[],True,0.83,1,PASS,unsupported data stated honestly
F017,unsupported,690,4,is there a coupon?,no live commerce fabrication,unsupported_data,The dataset does not contain current coupon availability.,"{""brands"": [], ""categories"": [], ""colours"": [], ""currency"": ""USD"", ""destination"": null, ""materials"": [], ""maximum_price"": null, ""minimum_price"": null, ""occasions"": [], ""price_mode"": null, ""recipient"": null, ""schema_version"": ""n24_hard_request_state_v1"", ""sizes"": [], ""timeframe"": null}",[],0,0,True,[],True,0.803,1,PASS,unsupported data stated honestly
F018,outfits,691,1,put together a casual outfit for men,three coherent real-product looks,recommendations,I put together 3 outfit options for men. Here are the details:,"{""brands"": [], ""categories"": [], ""colours"": [], ""currency"": ""USD"", ""destination"": null, ""materials"": [], ""maximum_price"": null, ""minimum_price"": null, ""occasions"": [], ""price_mode"": null, ""recipient"": null, ""schema_version"": ""n24_hard_request_state_v1"", ""sizes"": [], ""timeframe"": null}",[],0,3,True,[],True,32.701,1,PASS,three real catalogue outfit groups
F018,outfits,691,2,show me another outfit,distinct outfit follow-up,recommendations,Here is another distinct outfit.,"{""brands"": [], ""categories"": [], ""colours"": [], ""currency"": ""USD"", ""destination"": null, ""materials"": [], ""maximum_price"": null, ""minimum_price"": null, ""occasions"": [], ""price_mode"": null, ""recipient"": null, ""schema_version"": ""n24_hard_request_state_v1"", ""sizes"": [], ""timeframe"": null}",[],0,4,True,[],True,6.169,1,PASS,additional group returned
F019,personalization,692,1,I like Nike,save soft preference,profile_updated,Great! Nike has been added to your brand preferences. Let me know if you need help finding products!,"{""brands"": [], ""categories"": [], ""colours"": [], ""currency"": ""USD"", ""destination"": null, ""materials"": [], ""maximum_price"": null, ""minimum_price"": null, ""occasions"": [], ""price_mode"": null, ""recipient"": null, ""schema_version"": ""n24_hard_request_state_v1"", ""sizes"": [], ""timeframe"": null}",[],0,0,True,[],True,3.217,1,PASS,soft preference only
F019,personalization,692,2,show me Adidas shoes,hard request overrides Nike preference,recommendations,"I found 5 verified matches: adidas Men's Adilette Shower Slide, adidas Women's Cloudfoam Pure 2.0 Running Shoe, adidas Women's Grand Court Sneaker, adidas Men's Adissage Slides Sandal, and adidas Men's Samba Classic Soccer Shoe. Prices shown are historical dataset prices, not live current prices.","{""brands"": [""adidas""], ""categories"": [""Shoes""], ""colours"": [], ""currency"": ""USD"", ""destination"": null, ""materials"": [], ""maximum_price"": null, ""minimum_price"": null, ""occasions"": [], ""price_mode"": null, ""recipient"": null, ""schema_version"": ""n24_hard_request_state_v1"", ""sizes"": [], ""timeframe"": null}","[""B07FDB7GMZ"", ""B0C4YJGPTQ"", ""B082QKPV3L"", ""B0BSSDNYVY"", ""B0C63QWWCB""]",5,0,True,[],True,0.829,0,PASS,hard state and product evidence verified
F020,persistence,693,1,show me black shoes,persist request/results,recommendations,"I found 5 verified matches: Nike Men's Air Monarch IV Wide 4E Black/Black (416355 001), Fila Women's w Memory Workshift Sr, Speedo Men's Water Shoe Surfwalker Pro 3.0, FREE SOLDIER Waterproof Hiking Work Boots Men's Tactical Boots 6 Inches Lightweight Military Boots Breathable Desert Boots, and Timberland PRO Men's Powertrain Sport Alloy Toe Sd+ Ripstop Nylon Industrial Boot. Prices shown are historical dataset prices, not live current prices.","{""brands"": [], ""categories"": [""Shoes""], ""colours"": [""black""], ""currency"": ""USD"", ""destination"": null, ""materials"": [], ""maximum_price"": null, ""minimum_price"": null, ""occasions"": [], ""price_mode"": null, ""recipient"": null, ""schema_version"": ""n24_hard_request_state_v1"", ""sizes"": [], ""timeframe"": null}","[""B0B2TB19C3"", ""B09LMHB3MF"", ""B0BVMS91HD"", ""B09MVQ8NP7"", ""B0C672212P""]",5,0,True,[],True,0.883,0,PASS,hard state and product evidence verified
F020,persistence,693,2,reload persisted conversation,same hard state and restored result set,restored,,"{""brands"": [], ""categories"": [""Shoes""], ""colours"": [""black""], ""currency"": ""USD"", ""destination"": null, ""materials"": [], ""maximum_price"": null, ""minimum_price"": null, ""occasions"": [], ""price_mode"": null, ""recipient"": null, ""schema_version"": ""n24_hard_request_state_v1"", ""sizes"": [], ""timeframe"": null}","[""B0B2TB19C3"", ""B09LMHB3MF"", ""B0BVMS91HD"", ""B09MVQ8NP7"", ""B0C672212P""]",5,0,True,[],True,0.0,0,PASS,persistent state/result restoration
F021,cross_category_live,694,1,i need black nike shoes,valid footwear,recommendations,"I found 1 verified match: Nike Men's Air Monarch IV Wide 4E Black/Black (416355 001). Prices shown are historical dataset prices, not live current prices.","{""brands"": [""Nike""], ""categories"": [""Shoes""], ""colours"": [""black""], ""currency"": ""USD"", ""destination"": null, ""materials"": [], ""maximum_price"": null, ""minimum_price"": null, ""occasions"": [], ""price_mode"": null, ""recipient"": null, ""schema_version"": ""n24_hard_request_state_v1"", ""sizes"": [], ""timeframe"": null}","[""B0B2TB19C3""]",1,0,True,[],True,0.97,0,PASS,hard state and product evidence verified
F021,cross_category_live,694,2,i need red shirt,zero or independently proven shirts,no_exact_match,"I found no exact match for red Shirts. I also could not verify an eligible mixed-colour alternative, so I won't offer one.","{""brands"": [], ""categories"": [""Shirts""], ""colours"": [""red""], ""currency"": ""USD"", ""destination"": null, ""materials"": [], ""maximum_price"": null, ""minimum_price"": null, ""occasions"": [], ""price_mode"": null, ""recipient"": null, ""schema_version"": ""n24_hard_request_state_v1"", ""sizes"": [], ""timeframe"": null}",[],0,0,True,[],True,0.848,0,PASS,hard state and product evidence verified
F021,cross_category_live,694,3,i need black shirt,never return another product family,no_exact_match,I found no exact match for black Shirts. I verified 2 eligible mixed-colour candidates; I can show those while keeping black as a requested colour.,"{""brands"": [], ""categories"": [""Shirts""], ""colours"": [""black""], ""currency"": ""USD"", ""destination"": null, ""materials"": [], ""maximum_price"": null, ""minimum_price"": null, ""occasions"": [], ""price_mode"": null, ""recipient"": null, ""schema_version"": ""n24_hard_request_state_v1"", ""sizes"": [], ""timeframe"": null}",[],0,0,True,[],True,37.761,0,PASS,hard state and product evidence verified
F022,cross_category_live,695,1,i need black shirt,fresh chat never returns another product family,no_exact_match,I found no exact match for black Shirts. I verified 2 eligible mixed-colour candidates; I can show those while keeping black as a requested colour.,"{""brands"": [], ""categories"": [""Shirts""], ""colours"": [""black""], ""currency"": ""USD"", ""destination"": null, ""materials"": [], ""maximum_price"": null, ""minimum_price"": null, ""occasions"": [], ""price_mode"": null, ""recipient"": null, ""schema_version"": ""n24_hard_request_state_v1"", ""sizes"": [], ""timeframe"": null}",[],0,0,True,[],True,0.77,0,PASS,hard state and product evidence verified
A001,raw_category_adversarial,0,1,Shirts vs raw razor,category rejection,offline_raw_oracle,,{},"[""B0743MHZX2""]",0,0,True,[],True,0.0,0,PASS,independent raw title/main_category adversary
A002,raw_category_adversarial,0,1,Shirts vs raw perfume,category rejection,offline_raw_oracle,,{},"[""B07X1TK3VS""]",0,0,True,[],True,0.0,0,PASS,independent raw title/main_category adversary
A003,raw_category_adversarial,0,1,Shirts vs raw shoe,category rejection,offline_raw_oracle,,{},"[""B071RZFKJR""]",0,0,True,[],True,0.0,0,PASS,independent raw title/main_category adversary
A004,raw_category_adversarial,0,1,Shirts vs raw watch,category rejection,offline_raw_oracle,,{},"[""B01GNVW8MC""]",0,0,True,[],True,0.0,0,PASS,independent raw title/main_category adversary
A005,raw_category_adversarial,0,1,Shirts vs raw handbag,category rejection,offline_raw_oracle,,{},"[""B09F348NC5""]",0,0,True,[],True,0.0,0,PASS,independent raw title/main_category adversary
A006,raw_category_adversarial,0,1,Shirts vs raw jewelry,category rejection,offline_raw_oracle,,{},"[""B075LLJQZY""]",0,0,True,[],True,0.0,0,PASS,independent raw title/main_category adversary
A007,raw_category_adversarial,0,1,Shoes vs raw shirt,category rejection,offline_raw_oracle,,{},"[""B008L1J7YU""]",0,0,True,[],True,0.0,0,PASS,independent raw title/main_category adversary
A008,raw_category_adversarial,0,1,Shoes vs raw razor,category rejection,offline_raw_oracle,,{},"[""B0743MHZX2""]",0,0,True,[],True,0.0,0,PASS,independent raw title/main_category adversary
A009,raw_category_adversarial,0,1,Shoes vs raw perfume,category rejection,offline_raw_oracle,,{},"[""B07X1TK3VS""]",0,0,True,[],True,0.0,0,PASS,independent raw title/main_category adversary
A010,raw_category_adversarial,0,1,Shoes vs raw jewelry,category rejection,offline_raw_oracle,,{},"[""B075LLJQZY""]",0,0,True,[],True,0.0,0,PASS,independent raw title/main_category adversary
A011,raw_category_adversarial,0,1,Watches vs raw shirt,category rejection,offline_raw_oracle,,{},"[""B008L1J7YU""]",0,0,True,[],True,0.0,0,PASS,independent raw title/main_category adversary
A012,raw_category_adversarial,0,1,Watches vs raw razor,category rejection,offline_raw_oracle,,{},"[""B0743MHZX2""]",0,0,True,[],True,0.0,0,PASS,independent raw title/main_category adversary
