scenario_id,behavioral_family,turn_count,chat_ids,pass_status,failure_categories,expected_behavior,summary_notes
S060,RESULT_REFERENCES,2,[148],FAIL,RESULT_REFERENCE,Resolve and describe the second prior result without fabrication.,The ordinal/reference request was not resolved; the engine repeated ordinary recommendation behavior instead of answering about prior products.
S061,RESULT_REFERENCES,2,[149],FAIL,RESULT_REFERENCE,Resolve the third result and explain using available match evidence.,The ordinal/reference request was not resolved; the engine repeated ordinary recommendation behavior instead of answering about prior products.
S062,RESULT_REFERENCES,2,[150],FAIL,RESULT_REFERENCE,Return the stored Amazon link for the first result.,The ordinal/reference request was not resolved; the engine repeated ordinary recommendation behavior instead of answering about prior products.
S063,PRODUCT_COMPARISON,2,[151],FAIL,RESULT_REFERENCE,"Compare prior products using available price, rating, reviews, trust, match, brand, and category without fabricating specifications.",The ordinal/reference request was not resolved; the engine repeated ordinary recommendation behavior instead of answering about prior products.
S064,NO_EXACT_MATCH,1,[152],PASS,,"Return no fabricated products, preserve constraints, and suggest a useful relaxation.",
S065,NO_EXACT_MATCH,1,[153],PASS,,"Return no fabricated products, preserve constraints, and suggest a useful relaxation.",
S066,NO_EXACT_MATCH,1,[154],PASS,,"Return no fabricated products, preserve constraints, and suggest a useful relaxation.",
S067,GENERAL_SHOPPING_ADVICE,1,[155],UNSUPPORTED,DATA_LIMITATION,Provide grounded general guidance or explicitly classify this as unsupported.,General shopping-advice behavior is not implemented as a distinct capability in the deterministic response path.
S068,GENERAL_SHOPPING_ADVICE,1,[156],UNSUPPORTED,DATA_LIMITATION,Provide grounded general guidance or explicitly classify this as unsupported.,General shopping-advice behavior is not implemented as a distinct capability in the deterministic response path.
S069,GIFT_SHOPPING,1,[157],PARTIAL,CONVERSATION_RESPONSE,"Handle recipient and budget, ground recommendations, and clarify useful missing details.",Recipient/occasion handling recorded for qualitative audit.
S070,GIFT_SHOPPING,1,[158],PARTIAL,CONVERSATION_RESPONSE,Handle gift intent with useful clarification and catalogue grounding.,Recipient/occasion handling recorded for qualitative audit.
S071,OCCASION_SHOPPING,1,[159],PARTIAL,PARSER,Interpret occasion and provide grounded recommendations or clarification.,Recipient/occasion handling recorded for qualitative audit.
S072,OCCASION_SHOPPING,1,[160],PARTIAL,PARSER,Interpret work occasion and provide grounded recommendations or clarification.,Recipient/occasion handling recorded for qualitative audit.
S073,OUTFIT_MAKEOVER,3,[161],FAIL,OUTFIT,"Clarify supported recipient, then return 3x5 complete looks within total budget with slots, links, persistence, and reloadability.",Appropriate recipient clarification was asked. The pending outfit clarification was lost; the flow switched to generic product-type clarification and produced no 3x5 outfits. The pending outfit clarification was lost; the flow switched to generic product-type clarification and produced no 3x5 outfits.
S074,OUTFIT_FOLLOW_UP,2,[162],FAIL,OUTFIT,Return supported outfit recommendations then handle another-outfit follow-up.,"The request was routed to normal Casual product recommendations, not the grouped outfit mode; follow-up repeated the same products. The request was routed to normal Casual product recommendations, not the grouped outfit mode; follow-up repeated the same products."
S075,MULTI_PRODUCT_AND_GROUNDING,3,[163],PARTIAL,CONVERSATION_RESPONSE|DATA_LIMITATION,"Record multi-product capability and clearly refuse unsupported live stock, delivery, current-price, and coupon claims.","The multi-product request was treated as an impossible category intersection rather than a basket with a total budget. No live claim was fabricated, but the response did not directly explain that stock/delivery/current price/coupon data are unavailable. No live claim was fabricated, but the response did not directly explain that stock/delivery/current price/coupon data are unavailable."
